feature,importance
momentum_is_up,0.20032017
price_above_half,0.16380312
momentum_from_window_start,0.102346554
momentum_vol_ratio,0.100046866
price,0.08067309
momentum_direction,0.076355316
momentum_10min,0.040968742
market_confidence,0.030063579
momentum_5min,0.029957848
btc_momentum_5min,0.026236355
momentum_15min,0.023770887
rsi_14min,0.018478105
seconds_to_resolution,0.013828884
seconds_into_window,0.010945646
window_fraction,0.010749149
btc_momentum_interaction,0.008014272
usdc_amount,0.0064751557
volatility_15min,0.0059477068
trades_same_second,0.0057720486
atr_10min,0.005536827
binance_price,0.005407686
eth_momentum_interaction,0.0052918317
recent_trade_intensity,0.0052608442
volatility_10min,0.005202223
momentum_strength,0.005161043
volatility_5min,0.0050851917
time_since_last_trade,0.004631563
momentum_1min,0.0036692957
asset_BTC,0.0
momentum_trend_down,0.0
asset_ETH,0.0
asset_SOL,0.0
momentum_trend_up,0.0
momentum_consistency,0.0
in_final_minute,0.0
rsi_extreme,0.0
rsi_overbought,0.0
rsi_oversold,0.0
is_eth,0.0
is_btc,0.0
early_window,0.0
in_final_two_minutes,0.0
asset_XRP,0.0
